stad, kommun
Abbekås,Skurups
Abborrberget,Strängnäs
Agunnaryd,Ljungby
Alberga,Eskilstuna
Alby,Ånge
Alfta,Ovanåkers
Algutsrum,Mörbylånga
Alingsås,Alingsås
Allerum,Helsingborgs
Almunge,Uppsala
Alsike,Knivsta
Alstad,Trelleborgs
Alster,Karlstads
Alsterbro,Nybro
Alstermo,Uppvidinge
Alunda,Östhammars
Alvesta,Alvesta
Alvhem,Ale
Alvik,Leksands
Ambjörnarp,Tranemo
Ammenäs,Uddevalla
Anderslöv,Trelleborgs
Anderstorp,Gislaveds
Aneby,Aneby
Angelstad,Ljungby
Angered,Göteborgs
Ankarsrum,Västerviks
Ankarsvik,Sundsvalls
Anneberg,Nässjö
Annelöv,Landskrona
Antnäs,Luleå
Aplared,Borås
Arboga,Arboga
Arbrå,Bollnäs
Ardala,Skara
Arentorp,Vara
Arild,Höganäs
Arjeplog,Arjeplogs
Arkelstorp,Kristianstads
Arninge,Täby
Arnö,Nyköpings
Arrie,Vellinge
Arvidsjaur,Arvidsjaurs
Arvidsvik,Kungälvs
Arvika,Arvika
Aröd och Timmervik,Kungälvs
Askeby,Linköpings
Askersby,Örebro
Askersund,Askersunds
Asmundtorp,Landskrona
Aspeboda,Falu
Asperö,Göteborgs
Aspås,Krokoms
Avan,Luleå
Avesta,Avesta
Axvall,Skara
Backa,Rättviks
Backaryd,Ronneby
Backe,Strömsunds
Baggetorp,Vingåkers
Ballingslöv,Hässleholms
Balsby,Kristianstads
Bammarboda,Österåkers
Bankekind,Linköpings
Bankeryd,Jönköpings
Bara,Svedala
Barkarö,Västerås
Barnarp och Odensjö,Jönköpings
Barsebäck,Kävlinge
Barsebäckshamn,Kävlinge
Baskemölla,Simrishamns
Bastuträsk,Norsjö
Beddingestrand,Trelleborgs
Bengtsfors,Bengtsfors
Bengtsheden,Falu
Bensbyn,Luleå
Berg,Åtvidabergs
Berg,Linköpings
Berg,Gävle
Berga,Högsby
Bergagård,Falkenbergs
Bergby,Gävle
Bergeforsen,Timrå
Berghem,Marks
Bergkvara,Torsås
Bergnäset,Luleå
Bergshammar,Nyköpings
Bergshamra,Norrtälje
Bergsjö,Nordanstigs
Bergströmshusen,Staffanstorps
Bergsviken,Piteå
Bergvik,Söderhamns
Bestorp,Linköpings
Betsede,Värmdö
Bettna,Flens
Bie,Katrineholms
Billeberga,Svalövs
Billinge,Eslövs
Billingsfors,Bengtsfors
Billsta,Örnsköldsviks
Bjurholm,Bjurholms
Bjursås,Falu
Bjuv,Bjuvs
Bjärlöv,Kristianstads
Bjärnum,Hässleholms
Bjärred,Lomma
Bjärsjölagård,Sjöbo
Bjästa,Örnsköldsviks
Björbo,Gagnefs
Björboholm,Lerums
Björke,Gävle
Björketorp,Marks
Björklinge,Uppsala
Björktorp och Sanda,Strängnäs
Björkvik,Katrineholms
Björköby,Vetlanda
Björlanda,Göteborgs
Björna,Örnsköldsviks
Björnarås,Mölndals
Björneborg,Kristinehamns
Björnlunda,Gnesta
Björnänge,Åre
Björnö,Växjö
Björsäter,Åtvidabergs
Blackstalund,Uppsala
Bleket,Tjörns
Blentarp,Sjöbo
Blidsberg,Ulricehamns
Blidö,Norrtälje
Blixbo,Falu
Blombacka,Karlstads
Blomstermåla,Mönsterås
Blåsmark,Piteå
Bläshammar och Trönningenäs,Varbergs
Blötberget,Ludvika
Bockara,Oskarshamns
Boda,Rättviks
Bodafors,Nässjö
Boden,Bodens
Bohus-Björkö,Öckerö
Boliden,Skellefteå
Bollebygd,Bollebygds
Bollnäs,Bollnäs
Bollstabruk,Kramfors
Bondstorp,Vaggeryds
Bonäs,Mora
Bor,Värnamo
Borensberg,Motala
Borggård,Finspångs
Borgholm,Borgholms
Borgstena,Borås
Borlänge,Borlänge
Borrby,Simrishamns
Borås,Borås
Bosnäs,Borås
Botsmark,Umeå
Bottnaryd,Jönköpings
Bovallstrand,Sotenäs
Boxholm,Boxholms
Brantevik,Simrishamns
Brastad,Lysekils
Braås,Växjö
Bredared,Borås
Bredaryd,Värnamo
Bredbyn,Örnsköldsviks
Bredsand,Enköpings
Bredviken,Kalix
Bro,Upplands-Bro
Broaryd,Gislaveds
Broby,Östra Göinge
Brokind,Linköpings
Bromölla,Bromölla
Brotorp,Säffle
Brottby,Vallentuna
Bruksvallarna,Härjedalens
Brunn,Värmdö
Brunna,Upplands-Bro
Brunnsberg,Älvdalens
Bruzaholm,Eksjö
Brålanda,Vänersborgs
Bräcke,Bräcke
Bräkne-Hoby,Ronneby
Brändön,Luleå
Brännland,Umeå
Brännäset och Boviken,Umeå
Brännö,Göteborgs
Brösarp,Tomelilla
Bua,Varbergs
Buerås,Kungsbacka
Bullmark,Umeå
Bunkeflostrand,Malmö
Bureå,Skellefteå
Burgsvik,RegionGotland
Burlövsegnahem,Burlövs
Burseryd,Gislaveds
Burträsk,Skellefteå
Buskhyttan,Nyköpings
Butbro,Finspångs
Bygdeå,Robertsfors
Bygdsiljum,Skellefteå
Byske,Skellefteå
Bålsta,Håbo
Båstad,Båstads
Båtbyggartorp,UpplandsVäsby
Båtskärsnäs,Kalix
Bäckaskog,Kristianstads
Bäckebo,Nybro
Bäckefors,Bengtsfors
Bäckhammar,Kristinehamns
Bälgviken,Eskilstuna
Bälinge,Uppsala
Bälinge,Luleå
